km,From:,REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR
,,200,,1,200,400,1,,102,1,302,102,,2,402,1,102,402,2,500,202,304,904,2,304,202,502,,3,404,2,202,404,3,504,,104,306,906,3,306,104,506,700,4,406,3,104,406,4,508,204,308,908,4,308,204,510,704,5,408,4,204,408,5,512,706,106,310,910,5,310,106,514,708,6,410,5,106,410,6,516,206,312,912,6,312,206,518,712,7,412,6,206,412,7,520,714,108,314,914,7,314,108,522,716,8,414,7,108,414,8,524,208,316,916,8,316,208,526,720,9,416,8,208,416,9,528,722,110,318,918,9,318,110,530,724,10,418,9,110,418,10,,210,320,920,728,10,320,11,420,10,730,210,420,322,922,,11,322,422,11,422,212,324,924,,324,13,424,12,,212,424,13,326,,426,13,426,214,328,928,,328,15,428,14,,214,428,15,330,,430,15,430,216,332,932,,332,17,432,16,,216,432,17,334,,434,17,434,218,336,936,,336,19,436,18,,218,436,19,338,,438,19,438,220,340,940,340,220,,,21,440,20,220,440,21,,,122,21,342,122,,
0,GILROY (HSR) $,  ,  ,  ,  ,  ,  ,  ,  ,  ,5:11  ,  ,  ,  ,  ,5:35  ,  ,  ,  ,  ,  ,5:41  ,5:50  ,  ,  ,  ,  ,5:54  ,  ,  ,6:05  ,  ,  ,  ,  ,6:09  ,  ,6:11  ,6:20  ,  ,  ,  ,  ,6:24  ,  ,  ,6:35  ,  ,  ,  ,  ,  ,6:41  ,6:50  ,  ,  ,  ,  ,6:54  ,  ,  ,7:05  ,  ,  ,  ,  ,7:09  ,  ,7:11  ,7:20  ,  ,  ,  ,  ,7:24  ,  ,  ,7:35  ,  ,  ,  ,  ,  ,7:41  ,7:50  ,  ,  ,  ,  ,7:54  ,  ,  ,8:05  ,  ,  ,  ,  ,8:09  ,  ,8:11  ,8:20  ,  ,  ,  ,  ,8:24  ,  ,  ,8:35  ,  ,  ,  ,  ,  ,8:41  ,8:50  ,  ,  ,  ,  ,8:54  ,  ,  ,9:05  ,  ,  ,  ,  ,9:09  ,  ,9:11  ,9:20  ,  ,  ,  ,  ,9:24  ,  ,  ,9:35  ,  ,  ,  ,  ,  ,9:41  ,9:50  ,9:54  ,  ,  ,  ,  ,10:05  ,10:09  ,  ,  ,10:11  ,10:20  ,10:24  ,  ,  ,  ,10:35  ,  ,  ,10:41  ,10:50  ,10:54  ,  ,  ,  ,11:05  ,11:09  ,  ,  ,  ,11:11  ,11:24  ,  ,11:35  ,  ,  ,11:41  ,11:50  ,11:54  ,  ,  ,  ,12:05  ,12:09  ,  ,  ,  ,12:11  ,12:24  ,  ,12:35  ,  ,  ,12:41  ,12:50  ,12:54  ,  ,  ,  ,13:05  ,13:09  ,  ,  ,  ,13:11  ,13:24  ,  ,13:35  ,  ,  ,13:41  ,13:50  ,13:54  ,  ,  ,  ,14:05  ,14:09  ,  ,  ,  ,14:11  ,14:24  ,  ,14:35  ,  ,  ,14:41  ,14:50  ,  ,  ,  ,14:54  ,  ,  ,15:05  ,  ,  ,  ,  ,15:09  ,  ,  ,15:11  ,  ,  ,15:24  
10,SAN MARTIIN (HSR) $,  ,  ,  ,  ,  ,  ,  ,  ,  ,|      ,  ,  ,  ,  ,|      ,  ,  ,  ,  ,  ,|      ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,  ,|      ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,  ,|      ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,  ,|      ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,  ,|      ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,  ,|      ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,  ,|      ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,  ,|      ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,  ,|      ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,|      
16,MORGAN HILL (HSR) $,  ,  ,  ,  ,  ,  ,  ,  ,  ,5:21  ,  ,  ,  ,  ,|      ,  ,  ,  ,  ,  ,5:51  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,  ,6:21  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,  ,6:51  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,  ,7:21  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,  ,7:51  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,  ,8:21  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,  ,8:51  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,  ,9:21  ,|      ,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,  ,9:51  ,|      ,|      ,  ,  ,  ,  ,|      ,|      ,  ,  ,10:21  ,|      ,|      ,  ,  ,  ,|      ,  ,  ,10:51  ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,11:21  ,|      ,  ,|      ,  ,  ,11:51  ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,12:21  ,|      ,  ,|      ,  ,  ,12:51  ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,13:21  ,|      ,  ,|      ,  ,  ,13:51  ,|      ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,14:21  ,|      ,  ,|      ,  ,  ,14:51  ,|      ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,  ,|      ,  ,  ,15:21  ,  ,  ,|      
35,BLOSSOM HILL (HSR) $,  ,  ,  ,  ,5:14  ,  ,  ,  ,  ,5:30  ,  ,  ,  ,5:44  ,|      ,  ,  ,  ,  ,  ,6:00  ,|      ,  ,  ,  ,  ,|      ,  ,6:14  ,|      ,  ,  ,  ,  ,|      ,  ,6:30  ,|      ,  ,  ,  ,  ,|      ,  ,6:44  ,|      ,  ,  ,  ,  ,  ,7:00  ,|      ,  ,  ,  ,  ,|      ,  ,7:14  ,|      ,  ,  ,  ,  ,|      ,  ,7:30  ,|      ,  ,  ,  ,  ,|      ,  ,7:44  ,|      ,  ,  ,  ,  ,  ,8:00  ,|      ,  ,  ,  ,  ,|      ,  ,8:14  ,|      ,  ,  ,  ,  ,|      ,  ,8:30  ,|      ,  ,  ,  ,  ,|      ,  ,8:44  ,|      ,  ,  ,  ,  ,  ,9:00  ,|      ,  ,  ,  ,  ,|      ,  ,9:14  ,|      ,  ,  ,  ,  ,|      ,  ,9:30  ,|      ,  ,  ,  ,  ,|      ,  ,9:44  ,|      ,  ,  ,  ,  ,  ,10:00  ,|      ,|      ,  ,  ,  ,10:14  ,|      ,|      ,  ,  ,10:30  ,|      ,|      ,  ,  ,10:44  ,|      ,  ,  ,11:00  ,|      ,|      ,  ,  ,11:14  ,|      ,|      ,  ,  ,  ,11:30  ,|      ,11:44  ,|      ,  ,  ,12:00  ,|      ,|      ,  ,  ,12:14  ,|      ,|      ,  ,  ,  ,12:30  ,|      ,12:44  ,|      ,  ,  ,13:00  ,|      ,|      ,  ,  ,13:14  ,|      ,|      ,  ,  ,  ,13:30  ,|      ,13:44  ,|      ,  ,  ,14:00  ,|      ,|      ,  ,  ,14:14  ,|      ,|      ,  ,  ,  ,14:30  ,|      ,14:44  ,|      ,  ,  ,15:00  ,|      ,  ,  ,  ,|      ,  ,15:14  ,|      ,  ,  ,  ,  ,|      ,  ,  ,15:30  ,  ,  ,|      
40,CAPITOL (HSR) $,  ,  ,  ,  ,5:19  ,  ,  ,  ,  ,5:34  ,  ,  ,  ,5:49  ,|      ,  ,  ,  ,  ,  ,6:04  ,|      ,  ,  ,  ,  ,|      ,  ,6:19  ,|      ,  ,  ,  ,  ,|      ,  ,6:34  ,|      ,  ,  ,  ,  ,|      ,  ,6:49  ,|      ,  ,  ,  ,  ,  ,7:04  ,|      ,  ,  ,  ,  ,|      ,  ,7:19  ,|      ,  ,  ,  ,  ,|      ,  ,7:34  ,|      ,  ,  ,  ,  ,|      ,  ,7:49  ,|      ,  ,  ,  ,  ,  ,8:04  ,|      ,  ,  ,  ,  ,|      ,  ,8:19  ,|      ,  ,  ,  ,  ,|      ,  ,8:34  ,|      ,  ,  ,  ,  ,|      ,  ,8:49  ,|      ,  ,  ,  ,  ,  ,9:04  ,|      ,  ,  ,  ,  ,|      ,  ,9:19  ,|      ,  ,  ,  ,  ,|      ,  ,9:34  ,|      ,  ,  ,  ,  ,|      ,  ,9:49  ,|      ,  ,  ,  ,  ,  ,10:04  ,|      ,|      ,  ,  ,  ,10:19  ,|      ,|      ,  ,  ,10:34  ,|      ,|      ,  ,  ,10:49  ,|      ,  ,  ,11:04  ,|      ,|      ,  ,  ,11:19  ,|      ,|      ,  ,  ,  ,11:34  ,|      ,11:49  ,|      ,  ,  ,12:04  ,|      ,|      ,  ,  ,12:19  ,|      ,|      ,  ,  ,  ,12:34  ,|      ,12:49  ,|      ,  ,  ,13:04  ,|      ,|      ,  ,  ,13:19  ,|      ,|      ,  ,  ,  ,13:34  ,|      ,13:49  ,|      ,  ,  ,14:04  ,|      ,|      ,  ,  ,14:19  ,|      ,|      ,  ,  ,  ,14:34  ,|      ,14:49  ,|      ,  ,  ,15:04  ,|      ,  ,  ,  ,|      ,  ,15:19  ,|      ,  ,  ,  ,  ,|      ,  ,  ,15:34  ,  ,  ,|      
45,TAMIEN (HSR) $,5:01  ,5:12  ,5:16  ,  ,5:23  ,  ,5:27  ,5:31  ,  ,5:38  ,  ,5:42  ,5:46  ,5:53  ,|      ,  ,  ,  ,5:57  ,6:01  ,6:08  ,|      ,  ,  ,  ,6:12  ,|      ,6:16  ,6:23  ,|      ,  ,  ,  ,6:27  ,|      ,6:31  ,6:38  ,|      ,  ,  ,  ,6:42  ,|      ,6:46  ,6:53  ,|      ,  ,  ,  ,6:57  ,7:01  ,7:08  ,|      ,  ,  ,  ,7:12  ,|      ,7:16  ,7:23  ,|      ,  ,  ,  ,7:27  ,|      ,7:31  ,7:38  ,|      ,  ,  ,  ,7:42  ,|      ,7:46  ,7:53  ,|      ,  ,  ,  ,7:57  ,8:01  ,8:08  ,|      ,  ,  ,  ,8:12  ,|      ,8:16  ,8:23  ,|      ,  ,  ,  ,8:27  ,|      ,8:31  ,8:38  ,|      ,  ,  ,  ,8:42  ,|      ,8:46  ,8:53  ,|      ,  ,  ,  ,8:57  ,9:01  ,9:08  ,|      ,  ,  ,  ,9:12  ,|      ,9:16  ,9:23  ,|      ,  ,  ,  ,9:27  ,|      ,9:31  ,9:38  ,|      ,  ,  ,  ,9:42  ,|      ,9:46  ,9:53  ,|      ,  ,  ,  ,9:57  ,10:01  ,10:08  ,|      ,|      ,  ,  ,10:16  ,10:23  ,|      ,|      ,  ,  ,10:38  ,|      ,|      ,  ,  ,10:53  ,|      ,  ,11:01  ,11:08  ,|      ,|      ,  ,11:16  ,11:23  ,|      ,|      ,  ,  ,  ,11:38  ,|      ,11:53  ,|      ,  ,12:01  ,12:08  ,|      ,|      ,  ,12:16  ,12:23  ,|      ,|      ,  ,  ,  ,12:38  ,|      ,12:53  ,|      ,  ,13:01  ,13:08  ,|      ,|      ,  ,13:16  ,13:23  ,|      ,|      ,  ,  ,  ,13:38  ,|      ,13:53  ,|      ,  ,14:01  ,14:08  ,|      ,|      ,  ,14:16  ,14:23  ,|      ,|      ,  ,  ,  ,14:38  ,|      ,14:53  ,|      ,  ,15:01  ,15:08  ,|      ,  ,  ,15:12  ,|      ,15:16  ,15:23  ,|      ,  ,  ,  ,15:27  ,|      ,15:31  ,  ,15:38  ,  ,15:42  ,|      
48,SAN JOSE,5:04  ,5:15  ,5:19  ,  ,5:26  ,  ,5:30  ,5:34  ,  ,5:41  ,  ,5:45  ,5:49  ,5:56  ,5:58  ,  ,↴      ,  ,6:00  ,6:04  ,6:11  ,6:13  ,  ,↴      ,  ,6:15  ,6:17  ,6:19  ,6:26  ,6:28  ,  ,↴      ,  ,6:30  ,6:32  ,6:34  ,6:41  ,6:43  ,  ,↴      ,  ,6:45  ,6:47  ,6:49  ,6:56  ,6:58  ,  ,↴      ,  ,7:00  ,7:04  ,7:11  ,7:13  ,  ,↴      ,  ,7:15  ,7:17  ,7:19  ,7:26  ,7:28  ,  ,↴      ,  ,7:30  ,7:32  ,7:34  ,7:41  ,7:43  ,  ,↴      ,  ,7:45  ,7:47  ,7:49  ,7:56  ,7:58  ,  ,↴      ,  ,8:00  ,8:04  ,8:11  ,8:13  ,  ,↴      ,  ,8:15  ,8:17  ,8:19  ,8:26  ,8:28  ,  ,↴      ,  ,8:30  ,8:32  ,8:34  ,8:41  ,8:43  ,  ,↴      ,  ,8:45  ,8:47  ,8:49  ,8:56  ,8:58  ,  ,↴      ,  ,9:00  ,9:04  ,9:11  ,9:13  ,  ,↴      ,  ,9:15  ,9:17  ,9:19  ,9:26  ,9:28  ,  ,↴      ,  ,9:30  ,9:32  ,9:34  ,9:41  ,9:43  ,  ,↴      ,  ,9:45  ,9:47  ,9:49  ,9:56  ,9:58  ,  ,↴      ,  ,10:00  ,10:04  ,10:11  ,10:13  ,10:17  ,  ,↴      ,10:19  ,10:26  ,10:28  ,10:32  ,  ,↴      ,10:41  ,10:43  ,10:47  ,  ,↴      ,10:56  ,10:58  ,↴      ,11:04  ,11:11  ,11:13  ,11:17  ,↴      ,11:19  ,11:26  ,11:28  ,11:32  ,  ,↴      ,  ,11:41  ,11:47  ,11:56  ,11:58  ,↴      ,12:04  ,12:11  ,12:13  ,12:17  ,↴      ,12:19  ,12:26  ,12:28  ,12:32  ,  ,↴      ,  ,12:41  ,12:47  ,12:56  ,12:58  ,↴      ,13:04  ,13:11  ,13:13  ,13:17  ,↴      ,13:19  ,13:26  ,13:28  ,13:32  ,  ,↴      ,  ,13:41  ,13:47  ,13:56  ,13:58  ,↴      ,14:04  ,14:11  ,14:13  ,14:17  ,↴      ,14:19  ,14:26  ,14:28  ,14:32  ,  ,↴      ,  ,14:41  ,14:47  ,14:56  ,14:58  ,↴      ,15:04  ,15:11  ,15:13  ,↴      ,  ,15:15  ,15:17  ,15:19  ,15:26  ,15:28  ,  ,↴      ,  ,15:30  ,15:32  ,15:34  ,  ,15:41  ,  ,15:45  ,15:47  
,SAN JOSE,5:06  ,5:19  ,5:21  ,  ,5:32  ,  ,5:34  ,5:36  ,  ,5:47  ,  ,5:49  ,5:51  ,↳     ,6:00  ,  ,6:02  ,  ,6:04  ,6:06  ,↳     ,6:15  ,  ,6:17  ,  ,6:19  ,  ,6:21  ,↳     ,6:30  ,  ,6:32  ,  ,6:34  ,  ,6:36  ,↳     ,6:45  ,  ,6:47  ,  ,6:49  ,  ,6:51  ,↳     ,7:00  ,  ,7:02  ,  ,7:04  ,7:06  ,↳     ,7:15  ,  ,7:17  ,  ,7:19  ,  ,7:21  ,↳     ,7:30  ,  ,7:32  ,  ,7:34  ,  ,7:36  ,↳     ,7:45  ,  ,7:47  ,  ,7:49  ,  ,7:51  ,↳     ,8:00  ,  ,8:02  ,  ,8:04  ,8:06  ,↳     ,8:15  ,  ,8:17  ,  ,8:19  ,  ,8:21  ,↳     ,8:30  ,  ,8:32  ,  ,8:34  ,  ,8:36  ,↳     ,8:45  ,  ,8:47  ,  ,8:49  ,  ,8:51  ,↳     ,9:00  ,  ,9:02  ,  ,9:04  ,9:06  ,↳     ,9:15  ,  ,9:17  ,  ,9:19  ,  ,9:21  ,↳     ,9:30  ,  ,9:32  ,  ,9:34  ,  ,9:36  ,↳     ,9:45  ,  ,9:47  ,  ,9:49  ,  ,9:51  ,↳     ,10:00  ,  ,10:02  ,  ,10:04  ,10:06  ,↳     ,10:15  ,  ,  ,10:17  ,10:21  ,↳     ,10:30  ,  ,  ,10:32  ,↳     ,10:45  ,  ,  ,10:47  ,↳     ,11:00  ,11:02  ,11:06  ,↳     ,11:15  ,  ,11:17  ,11:21  ,↳     ,11:30  ,  ,  ,11:32  ,  ,11:47  ,  ,↳     ,12:00  ,12:02  ,12:06  ,↳     ,12:15  ,  ,12:17  ,12:21  ,↳     ,12:30  ,  ,  ,12:32  ,  ,12:47  ,  ,↳     ,13:00  ,13:02  ,13:06  ,↳     ,13:15  ,  ,13:17  ,13:21  ,↳     ,13:30  ,  ,  ,13:32  ,  ,13:47  ,  ,↳     ,14:00  ,14:02  ,14:06  ,↳     ,14:15  ,  ,14:17  ,14:21  ,↳     ,14:30  ,  ,  ,14:32  ,  ,14:47  ,  ,↳     ,15:00  ,15:02  ,15:06  ,↳     ,15:15  ,15:17  ,  ,15:19  ,  ,15:21  ,↳     ,15:30  ,  ,15:32  ,  ,15:34  ,  ,15:36  ,  ,15:47  ,  ,15:49  ,  
50,COLLEGE PARK,|      ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  
