km,From:,REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR,REG (C-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (CT-LCL),HSR
52,SANTA CLARA,5:12  ,|      ,5:27  ,  ,|      ,  ,|      ,5:42  ,  ,|      ,  ,|      ,5:57  ,  ,|      ,  ,|      ,  ,|      ,6:12  ,  ,|      ,  ,|      ,  ,|      ,  ,6:27  ,  ,|      ,  ,|      ,  ,|      ,  ,6:42  ,  ,|      ,  ,|      ,  ,|      ,  ,6:57  ,  ,|      ,  ,|      ,  ,|      ,7:12  ,  ,|      ,  ,|      ,  ,|      ,  ,7:27  ,  ,|      ,  ,|      ,  ,|      ,  ,7:42  ,  ,|      ,  ,|      ,  ,|      ,  ,7:57  ,  ,|      ,  ,|      ,  ,|      ,8:12  ,  ,|      ,  ,|      ,  ,|      ,  ,8:27  ,  ,|      ,  ,|      ,  ,|      ,  ,8:42  ,  ,|      ,  ,|      ,  ,|      ,  ,8:57  ,  ,|      ,  ,|      ,  ,|      ,9:12  ,  ,|      ,  ,|      ,  ,|      ,  ,9:27  ,  ,|      ,  ,|      ,  ,|      ,  ,9:42  ,  ,|      ,  ,|      ,  ,|      ,  ,9:57  ,  ,|      ,  ,|      ,  ,|      ,10:12  ,  ,|      ,  ,  ,|      ,10:27  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,11:12  ,  ,|      ,  ,|      ,11:27  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,12:12  ,  ,|      ,  ,|      ,12:27  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,13:12  ,  ,|      ,  ,|      ,13:27  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,14:12  ,  ,|      ,  ,|      ,14:27  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,15:12  ,  ,|      ,|      ,  ,|      ,  ,15:27  ,  ,|      ,  ,|      ,  ,|      ,  ,15:42  ,  ,|      ,  ,|      ,  
58,LAWRENCE,5:17  ,5:28  ,5:32  ,  ,|      ,  ,5:43  ,5:47  ,  ,|      ,  ,5:58  ,6:02  ,  ,|      ,  ,|      ,  ,6:13  ,6:17  ,  ,|      ,  ,|      ,  ,6:28  ,  ,6:32  ,  ,|      ,  ,|      ,  ,6:43  ,  ,6:47  ,  ,|      ,  ,|      ,  ,6:58  ,  ,7:02  ,  ,|      ,  ,|      ,  ,7:13  ,7:17  ,  ,|      ,  ,|      ,  ,7:28  ,  ,7:32  ,  ,|      ,  ,|      ,  ,7:43  ,  ,7:47  ,  ,|      ,  ,|      ,  ,7:58  ,  ,8:02  ,  ,|      ,  ,|      ,  ,8:13  ,8:17  ,  ,|      ,  ,|      ,  ,8:28  ,  ,8:32  ,  ,|      ,  ,|      ,  ,8:43  ,  ,8:47  ,  ,|      ,  ,|      ,  ,8:58  ,  ,9:02  ,  ,|      ,  ,|      ,  ,9:13  ,9:17  ,  ,|      ,  ,|      ,  ,9:28  ,  ,9:32  ,  ,|      ,  ,|      ,  ,9:43  ,  ,9:47  ,  ,|      ,  ,|      ,  ,9:58  ,  ,10:02  ,  ,|      ,  ,|      ,  ,10:13  ,10:17  ,  ,|      ,  ,  ,|      ,10:32  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,11:17  ,  ,|      ,  ,|      ,11:32  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,12:17  ,  ,|      ,  ,|      ,12:32  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,13:17  ,  ,|      ,  ,|      ,13:32  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,14:17  ,  ,|      ,  ,|      ,14:32  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,15:17  ,  ,|      ,|      ,  ,15:28  ,  ,15:32  ,  ,|      ,  ,|      ,  ,15:43  ,  ,15:47  ,  ,|      ,  ,15:58  ,  
61,SUNNYVALE,5:20  ,5:32  ,5:35  ,  ,5:43  ,  ,5:47  ,5:50  ,  ,5:58  ,  ,6:02  ,6:05  ,  ,|      ,  ,6:13  ,  ,6:17  ,6:20  ,  ,|      ,  ,6:28  ,  ,6:32  ,  ,6:35  ,  ,|      ,  ,6:43  ,  ,6:47  ,  ,6:50  ,  ,|      ,  ,6:58  ,  ,7:02  ,  ,7:05  ,  ,|      ,  ,7:13  ,  ,7:17  ,7:20  ,  ,|      ,  ,7:28  ,  ,7:32  ,  ,7:35  ,  ,|      ,  ,7:43  ,  ,7:47  ,  ,7:50  ,  ,|      ,  ,7:58  ,  ,8:02  ,  ,8:05  ,  ,|      ,  ,8:13  ,  ,8:17  ,8:20  ,  ,|      ,  ,8:28  ,  ,8:32  ,  ,8:35  ,  ,|      ,  ,8:43  ,  ,8:47  ,  ,8:50  ,  ,|      ,  ,8:58  ,  ,9:02  ,  ,9:05  ,  ,|      ,  ,9:13  ,  ,9:17  ,9:20  ,  ,|      ,  ,9:28  ,  ,9:32  ,  ,9:35  ,  ,|      ,  ,9:43  ,  ,9:47  ,  ,9:50  ,  ,|      ,  ,9:58  ,  ,10:02  ,  ,10:05  ,  ,|      ,  ,10:13  ,  ,10:17  ,10:20  ,  ,|      ,  ,  ,10:28  ,10:35  ,  ,|      ,  ,  ,10:43  ,  ,|      ,  ,  ,10:58  ,  ,|      ,11:13  ,11:20  ,  ,|      ,  ,11:28  ,11:35  ,  ,|      ,  ,  ,11:43  ,  ,11:58  ,  ,  ,|      ,12:13  ,12:20  ,  ,|      ,  ,12:28  ,12:35  ,  ,|      ,  ,  ,12:43  ,  ,12:58  ,  ,  ,|      ,13:13  ,13:20  ,  ,|      ,  ,13:28  ,13:35  ,  ,|      ,  ,  ,13:43  ,  ,13:58  ,  ,  ,|      ,14:13  ,14:20  ,  ,|      ,  ,14:28  ,14:35  ,  ,|      ,  ,  ,14:43  ,  ,14:58  ,  ,  ,|      ,15:13  ,15:20  ,  ,|      ,15:28  ,  ,15:32  ,  ,15:35  ,  ,|      ,  ,15:43  ,  ,15:47  ,  ,15:50  ,  ,15:58  ,  ,16:02  ,  
65,MOUNTAIN VIEW,5:24  ,5:36  ,5:39  ,  ,5:47  ,  ,5:51  ,5:54  ,  ,6:02  ,  ,6:06  ,6:09  ,  ,|      ,  ,6:17  ,  ,6:21  ,6:24  ,  ,|      ,  ,6:32  ,  ,6:36  ,  ,6:39  ,  ,|      ,  ,6:47  ,  ,6:51  ,  ,6:54  ,  ,|      ,  ,7:02  ,  ,7:06  ,  ,7:09  ,  ,|      ,  ,7:17  ,  ,7:21  ,7:24  ,  ,|      ,  ,7:32  ,  ,7:36  ,  ,7:39  ,  ,|      ,  ,7:47  ,  ,7:51  ,  ,7:54  ,  ,|      ,  ,8:02  ,  ,8:06  ,  ,8:09  ,  ,|      ,  ,8:17  ,  ,8:21  ,8:24  ,  ,|      ,  ,8:32  ,  ,8:36  ,  ,8:39  ,  ,|      ,  ,8:47  ,  ,8:51  ,  ,8:54  ,  ,|      ,  ,9:02  ,  ,9:06  ,  ,9:09  ,  ,|      ,  ,9:17  ,  ,9:21  ,9:24  ,  ,|      ,  ,9:32  ,  ,9:36  ,  ,9:39  ,  ,|      ,  ,9:47  ,  ,9:51  ,  ,9:54  ,  ,|      ,  ,10:02  ,  ,10:06  ,  ,10:09  ,  ,|      ,  ,10:17  ,  ,10:21  ,10:24  ,  ,|      ,  ,  ,10:32  ,10:39  ,  ,|      ,  ,  ,10:47  ,  ,|      ,  ,  ,11:02  ,  ,|      ,11:17  ,11:24  ,  ,|      ,  ,11:32  ,11:39  ,  ,|      ,  ,  ,11:47  ,  ,12:02  ,  ,  ,|      ,12:17  ,12:24  ,  ,|      ,  ,12:32  ,12:39  ,  ,|      ,  ,  ,12:47  ,  ,13:02  ,  ,  ,|      ,13:17  ,13:24  ,  ,|      ,  ,13:32  ,13:39  ,  ,|      ,  ,  ,13:47  ,  ,14:02  ,  ,  ,|      ,14:17  ,14:24  ,  ,|      ,  ,14:32  ,14:39  ,  ,|      ,  ,  ,14:47  ,  ,15:02  ,  ,  ,|      ,15:17  ,15:24  ,  ,|      ,15:32  ,  ,15:36  ,  ,15:39  ,  ,|      ,  ,15:47  ,  ,15:51  ,  ,15:54  ,  ,16:02  ,  ,16:06  ,  
69,SAN ANTONIO,5:27  ,|      ,5:42  ,  ,|      ,  ,|      ,5:57  ,  ,|      ,  ,|      ,6:12  ,  ,|      ,  ,|      ,  ,|      ,6:27  ,  ,|      ,  ,|      ,  ,|      ,  ,6:42  ,  ,|      ,  ,|      ,  ,|      ,  ,6:57  ,  ,|      ,  ,|      ,  ,|      ,  ,7:12  ,  ,|      ,  ,|      ,  ,|      ,7:27  ,  ,|      ,  ,|      ,  ,|      ,  ,7:42  ,  ,|      ,  ,|      ,  ,|      ,  ,7:57  ,  ,|      ,  ,|      ,  ,|      ,  ,8:12  ,  ,|      ,  ,|      ,  ,|      ,8:27  ,  ,|      ,  ,|      ,  ,|      ,  ,8:42  ,  ,|      ,  ,|      ,  ,|      ,  ,8:57  ,  ,|      ,  ,|      ,  ,|      ,  ,9:12  ,  ,|      ,  ,|      ,  ,|      ,9:27  ,  ,|      ,  ,|      ,  ,|      ,  ,9:42  ,  ,|      ,  ,|      ,  ,|      ,  ,9:57  ,  ,|      ,  ,|      ,  ,|      ,  ,10:12  ,  ,|      ,  ,|      ,  ,|      ,10:27  ,  ,|      ,  ,  ,|      ,10:42  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,11:27  ,  ,|      ,  ,|      ,11:42  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,12:27  ,  ,|      ,  ,|      ,12:42  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,13:27  ,  ,|      ,  ,|      ,13:42  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,14:27  ,  ,|      ,  ,|      ,14:42  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,15:27  ,  ,|      ,|      ,  ,|      ,  ,15:42  ,  ,|      ,  ,|      ,  ,|      ,  ,15:57  ,  ,|      ,  ,|      ,  
72,CALIFORNIA AVENUE,5:31  ,|      ,5:46  ,  ,|      ,  ,|      ,6:01  ,  ,|      ,  ,|      ,6:16  ,  ,|      ,  ,|      ,  ,|      ,6:31  ,  ,|      ,  ,|      ,  ,|      ,  ,6:46  ,  ,|      ,  ,|      ,  ,|      ,  ,7:01  ,  ,|      ,  ,|      ,  ,|      ,  ,7:16  ,  ,|      ,  ,|      ,  ,|      ,7:31  ,  ,|      ,  ,|      ,  ,|      ,  ,7:46  ,  ,|      ,  ,|      ,  ,|      ,  ,8:01  ,  ,|      ,  ,|      ,  ,|      ,  ,8:16  ,  ,|      ,  ,|      ,  ,|      ,8:31  ,  ,|      ,  ,|      ,  ,|      ,  ,8:46  ,  ,|      ,  ,|      ,  ,|      ,  ,9:01  ,  ,|      ,  ,|      ,  ,|      ,  ,9:16  ,  ,|      ,  ,|      ,  ,|      ,9:31  ,  ,|      ,  ,|      ,  ,|      ,  ,9:46  ,  ,|      ,  ,|      ,  ,|      ,  ,10:01  ,  ,|      ,  ,|      ,  ,|      ,  ,10:16  ,  ,|      ,  ,|      ,  ,|      ,10:31  ,  ,|      ,  ,  ,|      ,10:46  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,11:31  ,  ,|      ,  ,|      ,11:46  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,12:31  ,  ,|      ,  ,|      ,12:46  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,13:31  ,  ,|      ,  ,|      ,13:46  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,14:31  ,  ,|      ,  ,|      ,14:46  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,15:31  ,  ,|      ,|      ,  ,|      ,  ,15:46  ,  ,|      ,  ,|      ,  ,|      ,  ,16:01  ,  ,|      ,  ,|      ,  
75,PALO ALTO,5:34  ,5:43  ,5:49  ,  ,5:53  ,  ,5:58  ,6:04  ,  ,6:08  ,  ,6:13  ,6:19  ,  ,|      ,  ,6:23  ,  ,6:28  ,6:34  ,  ,|      ,  ,6:38  ,  ,6:43  ,  ,6:49  ,  ,|      ,  ,6:53  ,  ,6:58  ,  ,7:04  ,  ,|      ,  ,7:08  ,  ,7:13  ,  ,7:19  ,  ,|      ,  ,7:23  ,  ,7:28  ,7:34  ,  ,|      ,  ,7:38  ,  ,7:43  ,  ,7:49  ,  ,|      ,  ,7:53  ,  ,7:58  ,  ,8:04  ,  ,|      ,  ,8:08  ,  ,8:13  ,  ,8:19  ,  ,|      ,  ,8:23  ,  ,8:28  ,8:34  ,  ,|      ,  ,8:38  ,  ,8:43  ,  ,8:49  ,  ,|      ,  ,8:53  ,  ,8:58  ,  ,9:04  ,  ,|      ,  ,9:08  ,  ,9:13  ,  ,9:19  ,  ,|      ,  ,9:23  ,  ,9:28  ,9:34  ,  ,|      ,  ,9:38  ,  ,9:43  ,  ,9:49  ,  ,|      ,  ,9:53  ,  ,9:58  ,  ,10:04  ,  ,|      ,  ,10:08  ,  ,10:13  ,  ,10:19  ,  ,|      ,  ,10:23  ,  ,10:28  ,10:34  ,  ,|      ,  ,  ,10:38  ,10:49  ,  ,|      ,  ,  ,10:53  ,  ,|      ,  ,  ,11:08  ,  ,|      ,11:23  ,11:34  ,  ,|      ,  ,11:38  ,11:49  ,  ,|      ,  ,  ,11:53  ,  ,12:08  ,  ,  ,|      ,12:23  ,12:34  ,  ,|      ,  ,12:38  ,12:49  ,  ,|      ,  ,  ,12:53  ,  ,13:08  ,  ,  ,|      ,13:23  ,13:34  ,  ,|      ,  ,13:38  ,13:49  ,  ,|      ,  ,  ,13:53  ,  ,14:08  ,  ,  ,|      ,14:23  ,14:34  ,  ,|      ,  ,14:38  ,14:49  ,  ,|      ,  ,  ,14:53  ,  ,15:08  ,  ,  ,|      ,15:23  ,15:34  ,  ,|      ,15:38  ,  ,15:43  ,  ,15:49  ,  ,|      ,  ,15:53  ,  ,15:58  ,  ,16:04  ,  ,16:08  ,  ,16:13  ,  
77,MENLO PARK,|      ,|      ,5:52  ,  ,|      ,  ,|      ,6:07  ,  ,|      ,  ,|      ,6:22  ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,6:52  ,  ,|      ,  ,|      ,  ,|      ,  ,7:07  ,  ,|      ,  ,|      ,  ,|      ,  ,7:22  ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,7:52  ,  ,|      ,  ,|      ,  ,|      ,  ,8:07  ,  ,|      ,  ,|      ,  ,|      ,  ,8:22  ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,8:52  ,  ,|      ,  ,|      ,  ,|      ,  ,9:07  ,  ,|      ,  ,|      ,  ,|      ,  ,9:22  ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,9:52  ,  ,|      ,  ,|      ,  ,|      ,  ,10:07  ,  ,|      ,  ,|      ,  ,|      ,  ,10:22  ,  ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,10:52  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,|      ,  ,|      ,  ,|      ,11:52  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,  ,|      ,12:52  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,  ,|      ,13:52  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,  ,|      ,14:52  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,|      ,|      ,  ,|      ,  ,15:52  ,  ,|      ,  ,|      ,  ,|      ,  ,16:07  ,  ,|      ,  ,|      ,  
79,ATHERTON,5:38  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,6:38  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,7:38  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,8:38  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,9:38  ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,10:38  ,  ,|      ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,11:38  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,12:38  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,13:38  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,14:38  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,15:38  ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  ,|      ,  
83,REDWOOD CITY,5:43  ,5:50  ,5:58  ,  ,5:58  ,  ,6:05  ,6:13  ,  ,6:13  ,  ,6:20  ,6:28  ,  ,|      ,  ,6:28  ,  ,6:35  ,6:43  ,  ,|      ,  ,6:43  ,  ,6:50  ,  ,6:58  ,  ,|      ,  ,6:58  ,  ,7:05  ,  ,7:13  ,  ,|      ,  ,7:13  ,  ,7:20  ,  ,7:28  ,  ,|      ,  ,7:28  ,  ,7:35  ,7:43  ,  ,|      ,  ,7:43  ,  ,7:50  ,  ,7:58  ,  ,|      ,  ,7:58  ,  ,8:05  ,  ,8:13  ,  ,|      ,  ,8:13  ,  ,8:20  ,  ,8:28  ,  ,|      ,  ,8:28  ,  ,8:35  ,8:43  ,  ,|      ,  ,8:43  ,  ,8:50  ,  ,8:58  ,  ,|      ,  ,8:58  ,  ,9:05  ,  ,9:13  ,  ,|      ,  ,9:13  ,  ,9:20  ,  ,9:28  ,  ,|      ,  ,9:28  ,  ,9:35  ,9:43  ,  ,|      ,  ,9:43  ,  ,9:50  ,  ,9:58  ,  ,|      ,  ,9:58  ,  ,10:05  ,  ,10:13  ,  ,|      ,  ,10:13  ,  ,10:20  ,  ,10:28  ,  ,|      ,  ,10:28  ,  ,10:35  ,10:43  ,  ,|      ,  ,  ,10:43  ,10:58  ,  ,|      ,  ,  ,10:58  ,  ,|      ,  ,  ,11:13  ,  ,|      ,11:28  ,11:43  ,  ,|      ,  ,11:43  ,11:58  ,  ,|      ,  ,  ,11:58  ,  ,12:13  ,  ,  ,|      ,12:28  ,12:43  ,  ,|      ,  ,12:43  ,12:58  ,  ,|      ,  ,  ,12:58  ,  ,13:13  ,  ,  ,|      ,13:28  ,13:43  ,  ,|      ,  ,13:43  ,13:58  ,  ,|      ,  ,  ,13:58  ,  ,14:13  ,  ,  ,|      ,14:28  ,14:43  ,  ,|      ,  ,14:43  ,14:58  ,  ,|      ,  ,  ,14:58  ,  ,15:13  ,  ,  ,|      ,15:28  ,15:43  ,  ,|      ,15:43  ,  ,15:50  ,  ,15:58  ,  ,|      ,  ,15:58  ,  ,16:05  ,  ,16:13  ,  ,16:13  ,  ,16:20  ,  
86,SAN CARLOS,5:47  ,5:54  ,6:02  ,  ,|      ,  ,6:09  ,6:17  ,  ,|      ,  ,6:24  ,6:32  ,  ,|      ,  ,|      ,  ,6:39  ,6:47  ,  ,|      ,  ,|      ,  ,6:54  ,  ,7:02  ,  ,|      ,  ,|      ,  ,7:09  ,  ,7:17  ,  ,|      ,  ,|      ,  ,7:24  ,  ,7:32  ,  ,|      ,  ,|      ,  ,7:39  ,7:47  ,  ,|      ,  ,|      ,  ,7:54  ,  ,8:02  ,  ,|      ,  ,|      ,  ,8:09  ,  ,8:17  ,  ,|      ,  ,|      ,  ,8:24  ,  ,8:32  ,  ,|      ,  ,|      ,  ,8:39  ,8:47  ,  ,|      ,  ,|      ,  ,8:54  ,  ,9:02  ,  ,|      ,  ,|      ,  ,9:09  ,  ,9:17  ,  ,|      ,  ,|      ,  ,9:24  ,  ,9:32  ,  ,|      ,  ,|      ,  ,9:39  ,9:47  ,  ,|      ,  ,|      ,  ,9:54  ,  ,10:02  ,  ,|      ,  ,|      ,  ,10:09  ,  ,10:17  ,  ,|      ,  ,|      ,  ,10:24  ,  ,10:32  ,  ,|      ,  ,|      ,  ,10:39  ,10:47  ,  ,|      ,  ,  ,|      ,11:02  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,|      ,11:47  ,  ,|      ,  ,|      ,12:02  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,12:47  ,  ,|      ,  ,|      ,13:02  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,13:47  ,  ,|      ,  ,|      ,14:02  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,14:47  ,  ,|      ,  ,|      ,15:02  ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,15:47  ,  ,|      ,|      ,  ,15:54  ,  ,16:02  ,  ,|      ,  ,|      ,  ,16:09  ,  ,16:17  ,  ,|      ,  ,16:24  ,  
