km,From:,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-EXP),REG (C-LCL),REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR,REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),REG (C-EXP),HSR,REG (C-LCL),REG (C-EXP),REG (C-LCL),HSR
,,1,1,1,100,1,2,2,1,100,2,204,,2,804,2,2,3,,3,806,204,3,102,3,808,3,3,4,700,4,810,102,4,206,702,4,812,4,4,5,704,5,814,206,5,104,5,816,5,5,6,708,6,818,104,6,208,710,6,820,6,6,7,712,7,822,208,7,106,7,824,7,7,8,716,8,826,106,8,210,718,8,828,8,8,9,720,9,830,210,9,108,9,832,9,9,10,724,10,834,108,10,212,726,10,836,10,10,11,728,11,838,212,11,110,11,840,11,11,,12,842,110,12,,12,844,12,13,,13,846,13,13,112,13,,14,850,112,14,,14,852,14,15,,15,854,15,15,114,15,,16,858,114,16,,16,860,16,17,,17,862,17,17,116,17,,18,866,116,18,,18,868,18,19,,19,870,19,19,118,19,,20,874,118,20,,20,876,20,21,,21,878,21,21,120,21,22,,22,882,120,22,224,,22,884,22,22,23,,23,886,224,23,122,23,888,23,23,24,,24,890,122,24,226,,24,892,24,24,25,,25,894,226,25,124,25,896,25,25,26,
0,GILROY (HSR) $,  ,  ,  ,  ,5:10  ,  ,  ,5:33  ,  ,  ,  ,5:38  ,5:40  ,5:48  ,  ,  ,  ,5:53  ,  ,6:03  ,  ,  ,  ,6:10  ,6:18  ,  ,  ,  ,6:23  ,  ,6:33  ,  ,  ,  ,6:38  ,6:40  ,6:48  ,  ,  ,  ,6:53  ,  ,7:03  ,  ,  ,  ,7:10  ,7:18  ,  ,  ,  ,7:23  ,  ,7:33  ,  ,  ,  ,7:38  ,7:40  ,7:48  ,  ,  ,  ,7:53  ,  ,8:03  ,  ,  ,  ,8:10  ,8:18  ,  ,  ,  ,8:23  ,  ,8:33  ,  ,  ,  ,8:38  ,8:40  ,8:48  ,  ,  ,  ,8:53  ,  ,9:03  ,  ,  ,  ,9:10  ,9:18  ,  ,  ,  ,9:23  ,  ,9:33  ,  ,  ,  ,9:38  ,9:40  ,9:48  ,  ,  ,  ,9:53  ,  ,10:03  ,  ,  ,  ,10:10  ,10:18  ,  ,  ,10:23  ,  ,10:33  ,  ,  ,10:38  ,10:40  ,10:48  ,  ,  ,10:53  ,  ,11:03  ,  ,  ,  ,11:10  ,11:23  ,  ,11:33  ,  ,  ,11:38  ,11:40  ,11:48  ,  ,  ,11:53  ,  ,12:03  ,  ,  ,  ,12:10  ,12:23  ,  ,12:33  ,  ,  ,12:38  ,12:40  ,12:48  ,  ,  ,12:53  ,  ,13:03  ,  ,  ,  ,13:10  ,13:23  ,  ,13:33  ,  ,  ,13:38  ,13:40  ,13:48  ,  ,  ,13:53  ,  ,14:03  ,  ,  ,  ,14:10  ,14:23  ,  ,14:33  ,  ,  ,14:38  ,14:40  ,14:48  ,  ,  ,14:53  ,  ,15:03  ,  ,  ,  ,15:10  ,  ,15:23  ,  ,15:33  ,  ,  ,  ,15:38  ,15:40  ,15:48  ,  ,  ,  ,15:53  ,  ,16:03  ,  ,  ,  ,16:10  ,16:18  ,  ,  ,  ,16:23  ,  ,16:33  ,  ,  ,  ,16:38  ,16:40  ,16:48  ,  ,  ,  ,16:53  ,  ,17:03  ,  ,  ,  ,17:10  ,17:18  ,  ,  ,  ,17:23  
10,SAN MARTIIN (HSR) $,  ,  ,  ,  ,|      ,  ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,|      ,  ,  ,  ,|      
16,MORGAN HILL (HSR) $,  ,  ,  ,  ,5:20  ,  ,  ,|      ,  ,  ,  ,|      ,5:50  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,6:20  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,6:50  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,7:20  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,7:50  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,8:20  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,8:50  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,9:20  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,9:50  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,10:20  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,10:50  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,  ,11:20  ,|      ,  ,|      ,  ,  ,|      ,11:50  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,  ,12:20  ,|      ,  ,|      ,  ,  ,|      ,12:50  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,  ,13:20  ,|      ,  ,|      ,  ,  ,|      ,13:50  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,  ,14:20  ,|      ,  ,|      ,  ,  ,|      ,14:50  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,  ,15:20  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,15:50  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,16:20  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,|      ,16:50  ,|      ,  ,  ,  ,|      ,  ,|      ,  ,  ,  ,17:20  ,|      ,  ,  ,  ,|      
35,BLOSSOM HILL (HSR) $,  ,5:14  ,  ,  ,5:29  ,  ,5:44  ,|      ,  ,  ,  ,|      ,5:59  ,|      ,  ,  ,  ,|      ,6:14  ,|      ,  ,  ,  ,6:29  ,|      ,  ,  ,  ,|      ,6:44  ,|      ,  ,  ,  ,|      ,6:59  ,|      ,  ,  ,  ,|      ,7:14  ,|      ,  ,  ,  ,7:29  ,|      ,  ,  ,  ,|      ,7:44  ,|      ,  ,  ,  ,|      ,7:59  ,|      ,  ,  ,  ,|      ,8:14  ,|      ,  ,  ,  ,8:29  ,|      ,  ,  ,  ,|      ,8:44  ,|      ,  ,  ,  ,|      ,8:59  ,|      ,  ,  ,  ,|      ,9:14  ,|      ,  ,  ,  ,9:29  ,|      ,  ,  ,  ,|      ,9:44  ,|      ,  ,  ,  ,|      ,9:59  ,|      ,  ,  ,  ,|      ,10:14  ,|      ,  ,  ,  ,10:29  ,|      ,  ,  ,|      ,10:44  ,|      ,  ,  ,|      ,10:59  ,|      ,  ,  ,|      ,11:14  ,|      ,  ,  ,  ,11:29  ,|      ,11:44  ,|      ,  ,  ,|      ,11:59  ,|      ,  ,  ,|      ,12:14  ,|      ,  ,  ,  ,12:29  ,|      ,12:44  ,|      ,  ,  ,|      ,12:59  ,|      ,  ,  ,|      ,13:14  ,|      ,  ,  ,  ,13:29  ,|      ,13:44  ,|      ,  ,  ,|      ,13:59  ,|      ,  ,  ,|      ,14:14  ,|      ,  ,  ,  ,14:29  ,|      ,14:44  ,|      ,  ,  ,|      ,14:59  ,|      ,  ,  ,|      ,15:14  ,|      ,  ,  ,  ,15:29  ,  ,|      ,15:44  ,|      ,  ,  ,  ,|      ,15:59  ,|      ,  ,  ,  ,|      ,16:14  ,|      ,  ,  ,  ,16:29  ,|      ,  ,  ,  ,|      ,16:44  ,|      ,  ,  ,  ,|      ,16:59  ,|      ,  ,  ,  ,|      ,17:14  ,|      ,  ,  ,  ,17:29  ,|      ,  ,  ,  ,|      
40,CAPITOL (HSR) $,  ,5:18  ,  ,  ,5:33  ,  ,5:48  ,|      ,  ,  ,  ,|      ,6:03  ,|      ,  ,  ,  ,|      ,6:18  ,|      ,  ,  ,  ,6:33  ,|      ,  ,  ,  ,|      ,6:48  ,|      ,  ,  ,  ,|      ,7:03  ,|      ,  ,  ,  ,|      ,7:18  ,|      ,  ,  ,  ,7:33  ,|      ,  ,  ,  ,|      ,7:48  ,|      ,  ,  ,  ,|      ,8:03  ,|      ,  ,  ,  ,|      ,8:18  ,|      ,  ,  ,  ,8:33  ,|      ,  ,  ,  ,|      ,8:48  ,|      ,  ,  ,  ,|      ,9:03  ,|      ,  ,  ,  ,|      ,9:18  ,|      ,  ,  ,  ,9:33  ,|      ,  ,  ,  ,|      ,9:48  ,|      ,  ,  ,  ,|      ,10:03  ,|      ,  ,  ,  ,|      ,10:18  ,|      ,  ,  ,  ,10:33  ,|      ,  ,  ,|      ,10:48  ,|      ,  ,  ,|      ,11:03  ,|      ,  ,  ,|      ,11:18  ,|      ,  ,  ,  ,11:33  ,|      ,11:48  ,|      ,  ,  ,|      ,12:03  ,|      ,  ,  ,|      ,12:18  ,|      ,  ,  ,  ,12:33  ,|      ,12:48  ,|      ,  ,  ,|      ,13:03  ,|      ,  ,  ,|      ,13:18  ,|      ,  ,  ,  ,13:33  ,|      ,13:48  ,|      ,  ,  ,|      ,14:03  ,|      ,  ,  ,|      ,14:18  ,|      ,  ,  ,  ,14:33  ,|      ,14:48  ,|      ,  ,  ,|      ,15:03  ,|      ,  ,  ,|      ,15:18  ,|      ,  ,  ,  ,15:33  ,  ,|      ,15:48  ,|      ,  ,  ,  ,|      ,16:03  ,|      ,  ,  ,  ,|      ,16:18  ,|      ,  ,  ,  ,16:33  ,|      ,  ,  ,  ,|      ,16:48  ,|      ,  ,  ,  ,|      ,17:03  ,|      ,  ,  ,  ,|      ,17:18  ,|      ,  ,  ,  ,17:33  ,|      ,  ,  ,  ,|      
45,TAMIEN (HSR) $,5:12  ,5:22  ,  ,5:27  ,5:37  ,5:42  ,5:52  ,|      ,  ,  ,5:57  ,|      ,6:07  ,|      ,  ,  ,6:12  ,|      ,6:22  ,|      ,  ,  ,6:27  ,6:37  ,|      ,  ,  ,6:42  ,|      ,6:52  ,|      ,  ,  ,6:57  ,|      ,7:07  ,|      ,  ,  ,7:12  ,|      ,7:22  ,|      ,  ,  ,7:27  ,7:37  ,|      ,  ,  ,7:42  ,|      ,7:52  ,|      ,  ,  ,7:57  ,|      ,8:07  ,|      ,  ,  ,8:12  ,|      ,8:22  ,|      ,  ,  ,8:27  ,8:37  ,|      ,  ,  ,8:42  ,|      ,8:52  ,|      ,  ,  ,8:57  ,|      ,9:07  ,|      ,  ,  ,9:12  ,|      ,9:22  ,|      ,  ,  ,9:27  ,9:37  ,|      ,  ,  ,9:42  ,|      ,9:52  ,|      ,  ,  ,9:57  ,|      ,10:07  ,|      ,  ,  ,10:12  ,|      ,10:22  ,|      ,  ,  ,10:27  ,10:37  ,|      ,  ,  ,|      ,10:52  ,|      ,  ,  ,|      ,11:07  ,|      ,  ,11:12  ,|      ,11:22  ,|      ,  ,  ,11:27  ,11:37  ,|      ,11:52  ,|      ,  ,  ,|      ,12:07  ,|      ,  ,12:12  ,|      ,12:22  ,|      ,  ,  ,12:27  ,12:37  ,|      ,12:52  ,|      ,  ,  ,|      ,13:07  ,|      ,  ,13:12  ,|      ,13:22  ,|      ,  ,  ,13:27  ,13:37  ,|      ,13:52  ,|      ,  ,  ,|      ,14:07  ,|      ,  ,14:12  ,|      ,14:22  ,|      ,  ,  ,14:27  ,14:37  ,|      ,14:52  ,|      ,  ,  ,|      ,15:07  ,|      ,  ,15:12  ,|      ,15:22  ,|      ,  ,  ,15:27  ,15:37  ,15:42  ,|      ,15:52  ,|      ,  ,  ,15:57  ,|      ,16:07  ,|      ,  ,  ,16:12  ,|      ,16:22  ,|      ,  ,  ,16:27  ,16:37  ,|      ,  ,  ,16:42  ,|      ,16:52  ,|      ,  ,  ,16:57  ,|      ,17:07  ,|      ,  ,  ,17:12  ,|      ,17:22  ,|      ,  ,  ,17:27  ,17:37  ,|      ,  ,  ,17:42  ,|      
48,SAN JOSE,5:15  ,5:25  ,  ,5:30  ,5:40  ,5:45  ,5:55  ,5:57  ,  ,↴      ,6:00  ,6:02  ,6:10  ,6:12  ,  ,↴      ,6:15  ,6:17  ,6:25  ,6:27  ,  ,↴      ,6:30  ,6:40  ,6:42  ,  ,↴      ,6:45  ,6:47  ,6:55  ,6:57  ,  ,↴      ,7:00  ,7:02  ,7:10  ,7:12  ,  ,↴      ,7:15  ,7:17  ,7:25  ,7:27  ,  ,↴      ,7:30  ,7:40  ,7:42  ,  ,↴      ,7:45  ,7:47  ,7:55  ,7:57  ,  ,↴      ,8:00  ,8:02  ,8:10  ,8:12  ,  ,↴      ,8:15  ,8:17  ,8:25  ,8:27  ,  ,↴      ,8:30  ,8:40  ,8:42  ,  ,↴      ,8:45  ,8:47  ,8:55  ,8:57  ,  ,↴      ,9:00  ,9:02  ,9:10  ,9:12  ,  ,↴      ,9:15  ,9:17  ,9:25  ,9:27  ,  ,↴      ,9:30  ,9:40  ,9:42  ,  ,↴      ,9:45  ,9:47  ,9:55  ,9:57  ,  ,↴      ,10:00  ,10:02  ,10:10  ,10:12  ,  ,↴      ,10:15  ,10:17  ,10:25  ,10:27  ,  ,↴      ,10:30  ,10:40  ,10:42  ,  ,↴      ,10:47  ,10:55  ,10:57  ,  ,↴      ,11:02  ,11:10  ,11:12  ,↴      ,11:15  ,11:17  ,11:25  ,11:27  ,↴      ,  ,11:30  ,11:40  ,11:47  ,11:55  ,11:57  ,  ,↴      ,12:02  ,12:10  ,12:12  ,↴      ,12:15  ,12:17  ,12:25  ,12:27  ,↴      ,  ,12:30  ,12:40  ,12:47  ,12:55  ,12:57  ,  ,↴      ,13:02  ,13:10  ,13:12  ,↴      ,13:15  ,13:17  ,13:25  ,13:27  ,↴      ,  ,13:30  ,13:40  ,13:47  ,13:55  ,13:57  ,  ,↴      ,14:02  ,14:10  ,14:12  ,↴      ,14:15  ,14:17  ,14:25  ,14:27  ,↴      ,  ,14:30  ,14:40  ,14:47  ,14:55  ,14:57  ,  ,↴      ,15:02  ,15:10  ,15:12  ,↴      ,15:15  ,15:17  ,15:25  ,15:27  ,↴      ,  ,15:30  ,15:40  ,15:45  ,15:47  ,15:55  ,15:57  ,  ,↴      ,16:00  ,16:02  ,16:10  ,16:12  ,  ,↴      ,16:15  ,16:17  ,16:25  ,16:27  ,  ,↴      ,16:30  ,16:40  ,16:42  ,  ,↴      ,16:45  ,16:47  ,16:55  ,16:57  ,  ,↴      ,17:00  ,17:02  ,17:10  ,17:12  ,  ,↴      ,17:15  ,17:17  ,17:25  ,17:27  ,  ,↴      ,17:30  ,17:40  ,17:42  ,  ,↴      ,17:45  ,17:47  
,SAN JOSE,5:18  ,5:31  ,  ,5:33  ,5:46  ,5:48  ,↳     ,5:59  ,  ,6:01  ,6:03  ,  ,↳     ,6:14  ,  ,6:16  ,6:18  ,  ,↳     ,6:29  ,  ,6:31  ,6:33  ,↳     ,6:44  ,  ,6:46  ,6:48  ,  ,↳     ,6:59  ,  ,7:01  ,7:03  ,  ,↳     ,7:14  ,  ,7:16  ,7:18  ,  ,↳     ,7:29  ,  ,7:31  ,7:33  ,↳     ,7:44  ,  ,7:46  ,7:48  ,  ,↳     ,7:59  ,  ,8:01  ,8:03  ,  ,↳     ,8:14  ,  ,8:16  ,8:18  ,  ,↳     ,8:29  ,  ,8:31  ,8:33  ,↳     ,8:44  ,  ,8:46  ,8:48  ,  ,↳     ,8:59  ,  ,9:01  ,9:03  ,  ,↳     ,9:14  ,  ,9:16  ,9:18  ,  ,↳     ,9:29  ,  ,9:31  ,9:33  ,↳     ,9:44  ,  ,9:46  ,9:48  ,  ,↳     ,9:59  ,  ,10:01  ,10:03  ,  ,↳     ,10:14  ,  ,10:16  ,10:18  ,  ,↳     ,10:29  ,  ,10:31  ,10:33  ,↳     ,10:44  ,  ,10:46  ,  ,↳     ,10:59  ,  ,11:01  ,  ,↳     ,11:14  ,11:16  ,11:18  ,  ,↳     ,11:29  ,11:31  ,  ,11:33  ,11:46  ,  ,↳     ,11:59  ,  ,12:01  ,  ,↳     ,12:14  ,12:16  ,12:18  ,  ,↳     ,12:29  ,12:31  ,  ,12:33  ,12:46  ,  ,↳     ,12:59  ,  ,13:01  ,  ,↳     ,13:14  ,13:16  ,13:18  ,  ,↳     ,13:29  ,13:31  ,  ,13:33  ,13:46  ,  ,↳     ,13:59  ,  ,14:01  ,  ,↳     ,14:14  ,14:16  ,14:18  ,  ,↳     ,14:29  ,14:31  ,  ,14:33  ,14:46  ,  ,↳     ,14:59  ,  ,15:01  ,  ,↳     ,15:14  ,15:16  ,15:18  ,  ,↳     ,15:29  ,15:31  ,  ,15:33  ,15:46  ,15:48  ,  ,↳     ,15:59  ,  ,16:01  ,16:03  ,  ,↳     ,16:14  ,  ,16:16  ,16:18  ,  ,↳     ,16:29  ,  ,16:31  ,16:33  ,↳     ,16:44  ,  ,16:46  ,16:48  ,  ,↳     ,16:59  ,  ,17:01  ,17:03  ,  ,↳     ,17:14  ,  ,17:16  ,17:18  ,  ,↳     ,17:29  ,  ,17:31  ,17:33  ,↳     ,17:44  ,  ,17:46  ,17:48  ,  
50,COLLEGE PARK,|      ,|      ,  ,|      ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,  ,  ,|      ,|      ,|      ,  ,  ,|      ,|      ,  ,|      ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,  ,|      ,  ,|      ,|      ,  ,|      ,  ,|      ,|      ,  
