Station,Population1/2mi201,Employment1/2mi201,Total1/2mi201,Population1/2mi204,Employment1/2mi204,Total1/2mi204,Population2mi201,Employment2mi201,Total2mi201,Population2mi204,Employment2mi204,Total2mi204
Transbay,10418,225227,235645,24608,229725,254333,149819,361278,511097,211565,383324,594889
4th and King,10169,30367,40536,31967,66370,98337,54840,138340,193180,98519,161547,260066
22nd St,8271,7755,16026,13048,9792,22840,104383,56398,160781,142674,80870,223544
Bayshore,6988,1559,8546,18413,2524,20938,89355,18499,107854,139924,25218,165142
South San Francisco,5466,8232,13698,9030,14846,23876,36345,42800,79144,54161,64380,118541
San Bruno,7122,4335,11457,12845,10370,23215,41175,22980,64156,56355,48505,104861
Millbrae,4660,7895,12555,7944,12977,20921,30173,25533,55706,37623,39494,77117
Broadway,3520,4409,7929,8356,7280,15636,14922,12760,27682,20786,17675,38461
Burlingame,9184,6784,15968,11653,5628,17281,22285,13446,35731,26589,11347,37936
San Mateo,12273,8781,21055,14222,10401,24623,34462,12750,47212,37275,16190,53465
Hayward Park,5676,5261,10937,11680,13195,24875,24727,30934,55660,35304,35592,70896
Hillsdale,6604,5965,12569,7152,8427,15579,39285,24883,64168,49339,26435,75774
Belmont,5260,3583,8843,6348,4000,10348,38015,22734,60749,40536,27433,67969
San Carlos,5088,6158,11246,7278,5712,12991,25232,21207,46439,26130,21728,47858
Redwood City,7076,14661,21737,17535,16842,34377,56456,35761,92217,75814,48579,124393
Atherton,2265,451,2716,3499,1608,5107,34609,11715,46324,49490,16989,66478
Menlo Park,5115,8195,13310,6399,6265,12664,24255,13300,37556,27593,13244,40837
Palo Alto,6047,23576,29623,6629,22682,29310,42274,45598,87872,43478,61055,104533
California Ave,5084,8119,13203,10540,8694,19233,43238,54000,97238,55337,45538,100874
San Antonio,8607,2594,11201,13644,4151,17795,52030,41067,93097,65190,44128,109319
Mountain View,7089,6888,13977,8426,4902,13328,52894,50196,103090,74159,63917,138076
Sunnyvale,7645,5624,13269,12376,8978,21354,78369,42106,120475,103304,69902,173207
Lawrence,5532,5925,11457,12793,6251,19044,70657,57396,128053,97138,73838,170976
Santa Clara,3814,4741,8555,6989,9128,16117,45686,60380,106067,60488,76189,136676
College Park,3152,6115,9267,3948,6814,10762,30005,47263,77269,43936,43982,87917
San Jose Diridon,6610,8987,15597,17213,40780,57993,62075,51386,113461,127083,116065,243148
Tamien,8603,1467,10070,11164,1719,12884,66332,24456,90788,83964,35153,119118
Capitol,8877,1590,10467,10506,1643,12149,102497,14375,116872,112048,16420,128468
Blossom Hill,5318,4500,9818,8993,3230,12223,73067,23452,96520,87301,33237,120538
Morgan Hill,4411,1855,6265,6101,3261,9362,29805,14536,44341,38941,19587,58528
San Martin,236,303,539,1031,665,1697,7646,1574,9220,8834,2507,11341
Gilroy,6345,1727,8072,11026,6623,17649,36775,15162,51937,46107,24547,70655
