,cross_street,lat,lon,geometry
0,Mission Bay Blvd,37.769552900000065,-122.39853139999998,POINT Z (-122.3985314 37.76955290000006 0)
1,16th Street,37.76660140000007,-122.39466909999999,POINT Z (-122.3946691 37.76660140000007 0)
2,Linden Avenue,37.642250700000034,-122.41313339999999,POINT Z (-122.4131334 37.64225070000003 0)
3,Scott Street,37.637225400000034,-122.41307439999997,POINT Z (-122.4130744 37.63722540000003 0)
4,Center Street,37.60948470000005,-122.39650369999998,POINT Z (-122.3965037 37.60948470000005 0)
5,Broadway (Burlingame),37.58784670000006,-122.36328179999998,POINT Z (-122.3632818 37.58784670000006 0)
6,Oak Grove Avenue (Burlingame),37.58256270000004,-122.35073979999999,POINT Z (-122.3507398 37.58256270000004 0)
7,North Lane,37.58033510000007,-122.34541299999995,POINT Z (-122.345413 37.58033510000007 0)
8,Howard Avenue,37.579259500000035,-122.34285409999995,POINT Z (-122.3428541 37.57925950000003 0)
9,Bayswater Avenue,37.57843890000004,-122.34082099999995,POINT Z (-122.3408209999999 37.57843890000004 0)
10,Peninsula Avenue,37.577554700000064,-122.33872889999998,POINT Z (-122.3387289 37.57755470000006 0)
11,Villa Terrace,37.57582000000008,-122.33470559999995,POINT Z (-122.3347055999999 37.57582000000008 0)
12,Bellvue Avenue,37.57479970000003,-122.33231839999996,POINT Z (-122.3323184 37.57479970000003 0)
13,First Avenue,37.56760980000007,-122.32332629999996,POINT Z (-122.3233263 37.56760980000007 0)
14,Second Avenue,37.56682960000006,-122.32247199999995,POINT Z (-122.3224719999999 37.56682960000006 0)
15,Third Avenue,37.56605570000005,-122.32161369999994,POINT Z (-122.3216136999999 37.56605570000005 0)
16,Fourth Avenue,37.56529030000007,-122.32079829999998,POINT Z (-122.3207983 37.56529030000007 0)
17,Fifth Avenue,37.564667400000076,-122.32015459999997,POINT Z (-122.3201546 37.56466740000008 0)
18,Ninth Avenue,37.56217770000006,-122.31743479999994,POINT Z (-122.3174347999999 37.56217770000006 0)
19,25th Avenue,37.54565340000005,-122.30416599999995,POINT Z (-122.304166 37.54565340000005 0)
20,Whipple Avenue,37.490831900000046,-122.23941739999998,POINT Z (-122.2394174 37.49083190000005 0)
21,Brewster Avenue,37.488005600000065,-122.23494079999995,POINT Z (-122.2349407999999 37.48800560000006 0)
22,Broadway (Redwood City),37.486520100000064,-122.23254019999996,POINT Z (-122.2325402 37.48652010000006 0)
23,Maple Street,37.48256340000006,-122.22629339999997,POINT Z (-122.2262934 37.48256340000006 0)
24,Main Street,37.48188440000007,-122.22523929999994,POINT Z (-122.2252392999999 37.48188440000007 0)
25,Chestnut Street,37.48042220000008,-122.22292989999994,POINT Z (-122.2229298999999 37.48042220000008 0)
26,Fair Oaks Lane,37.46486760000005,-122.19823349999996,POINT Z (-122.1982335 37.46486760000005 0)
27,Watkins Avenue,37.46212760000003,-122.19391109999998,POINT Z (-122.1939111 37.46212760000003 0)
28,Encinal Avenue,37.45927040000004,-122.18937279999994,POINT Z (-122.1893727999999 37.45927040000004 0)
29,Glenwood Avenue,37.457354200000054,-122.18637409999997,POINT Z (-122.1863741 37.45735420000005 0)
30,Oak Grove Avenue (Menlo Park),37.455506100000036,-122.18343439999995,POINT Z (-122.1834344 37.45550610000004 0)
31,Ravenswood Avenue,37.453747400000054,-122.18060199999996,POINT Z (-122.180602 37.45374740000005 0)
32,Alma Street,37.44672470000006,-122.16952979999996,POINT Z (-122.1695298 37.44672470000006 0)
33,Churchill Avenue,37.43550170000003,-122.15173599999997,POINT Z (-122.151736 37.43550170000003 0)
34,East Meadow Drive,37.41758600000003,-122.12330999999995,POINT Z (-122.1233099999999 37.41758600000003 0)
35,Charleston Avenue,37.41462050000007,-122.11864289999994,POINT Z (-122.1186428999999 37.41462050000007 0)
36,Rengstorff Avenue,37.40299420000008,-122.09750179999997,POINT Z (-122.0975018 37.40299420000008 0)
37,Castro Street,37.39525510000004,-122.07799669999997,POINT Z (-122.0779967 37.39525510000004 0)
38,Mary Avenue,37.38324000000006,-122.04461929999997,POINT Z (-122.0446193 37.38324000000006 0)
39,Sunnyvale Avenue,37.37788180000007,-122.02844019999998,POINT Z (-122.0284402 37.37788180000007 0)
40,Auzerais Avenue,37.32203080000005,-121.90145909999995,POINT Z (-121.9014591 37.32203080000005 0)
41,Virginia Avenue,37.320240100000035,-121.89956409999996,POINT Z (-121.8995641 37.32024010000003 0)
